uid,cid,score
1355384477745,1090880030860820000,1
1355384477745,732677135367577,1
1355384477745,758689623101325,1
1355384477745,404268117066722,1
1355384477745,510869578002830,1
1355384477745,682148357557271,1
1355384477745,1090865773737840000,1
1355384477745,257267377578902,1
1355384477745,543201322241873,1
1355384477745,571052698950332,1
1355384477745,637628163804885,1
1355384477745,193424784758523,1
1355384477745,375943227089888,1
1355384477745,857765537554179,1
1355384477745,110125104067963,1
1355384477745,297605457061534,1
1355384477745,469779991050977,1
3269688229327,1103952183194180000,1
3269688229327,1103951619173540000,1
3269688229327,1110420967782040000,1
3269688229327,1110421684110440000,1
3269688229327,1110421389968090000,1
3269688229327,1120245765224690000,1
3269688229327,1120246169517850000,1
3269688229327,1120245955239240000,1
3269688229327,1120245147529540000,1
3269688229327,1103952834313740000,1
3269688229327,1120245469698220000,1
3269688229327,109124676426057,1
3269688229327,1110424104534230000,1
3269688229327,1103952461578530000,1
3269688229327,1110423597321240000,1
3269688229327,1110085576281510000,1
3269688229327,1110084325871410000,1
3269688229327,1110424441647220000,1
3269688229327,262311263254202,1
3269688229327,1130735388416210000,1
3269688229327,1130735130697200000,1
3269688229327,1110424735265280000,1
3269688229327,1120229528100840000,1
3269688229327,1130734121644110000,1
3269688229327,1110084908250510000,1
3269688229327,1120228625381750000,1
3269688229327,1120231515634690000,1
3269688229327,1120229035177840000,1
3269688229327,1121018486627930000,1
3269688229327,1110085247091550000,1
3269688229327,1091167884245600000,1
3269688229327,1120230078829720000,1
3269688229327,829345566061647,1
3269688229327,676750652190997,1
3269688229327,747723489764820,1
3269688229327,1090879855559880000,1
3269688229327,1121017772304400000,1
3269688229327,1130740749210670000,1
3269688229327,304332462422859,1
3269688229327,732677135367577,1
3269688229327,392273309074596,1
3269688229327,257267377578902,1
3269688229327,543201322241873,1
3269688229327,571052698950332,1
3269688229327,397775033859326,1
3269688229327,107676233265247,1
3269688229327,1090868750674470000,1
3269688229327,873286411048179,1
3269688229327,181781449524482,1
3269688229327,1130740952697320000,1
3269688229327,355857158411161,1
3269688229327,404268117066722,1
3269688229327,627278399306608,1
3269688229327,265811959529120,1
3269688229327,1090884099021120000,1
3269688229327,550769725396083,1
